name,number sold,highest bid,lowest ask
Jordan 3 Retro Infrared 23,939,$255,$240
Jordan XXXII NRG,77,$450,$360
Nike Blazer Mid Off-White,1573,$961,$735
Jordan 1 Retro High Off-White White (GS),75,"$1,270","$1,300"
Jordan 9 Retro Bred Patent (PS),32,$90,$86
adidas NMD R1 STLT Black Grey,43,$90,$103
adidas NMD XR1 Triple Grey,309,$110,$115
Nike SB Air Force 2 Low Supreme Blue,616,$117,$115
Converse One Star Ox Tyler The Creator Golf Le Fleur Geranium Pink,337,$136,$119
Jordan 1 Retro Rare Air Max Orange,306,$243,$120
adidas NMD CS1 Gore-tex Black,180,$142,$130
adidas Crazy BYW LVL 1 Black White,244,$133,$132
Jordan 13 Retro Wheat,312,$132,$139
Jordan 13 Retro Alternate History Of Flight,2356,$180,$140
Jordan 13 Retro Low Brave Blue,876,$165,$150
Air Max 180 Bright Ceramic,10,$110,$150
Jordan 1 Retro High Flyknit Derek Jeter RE2PECT,63,$150,$155
adidas Yeezy Boost 350 V2 Cream White Infant (I),693,$210,$157
Nike Foamposite Pro Island Green,295,$196,$160
LeBron 15 Black Gold,168,$185,$160
adidas NMD R1 Colour Static Rainbow,1032,$215,$164
Foamposite One Royal Blue XX 20th Anniversary (2017),463,$250,$170
Jordan 6 Retro Chinese New Year 2018 (GS),191,$210,$175
Jordan 5 Retro Poison Green,635,$216,$179
Air Max 97 Plus Layer Cake,62,$180,$179
Jordan 7 Retro Hare (2015),1296,$202,$185
Air VaporMax Moc Triple Black,122,$201,$189
Jordan 1 Retro High Wings,2647,$260,$197
Jordan 6 Retro Maroon (2015),1577,$212,$200
Jordan 11 Retro Legend Blue 2014 (GS),224,$196,$200
Air Max 270 Black Volt,61,$184,$210
Air VaporMax Plus Cargo Khaki,169,$276,$235
Jordan 12 Retro Doernbecher (2017),857,$267,$245
Jordan 8 Retro Valentine's Day 2018 (W),573,$483,$250
Jordan Defining Moments Pack Last Shot,1081,$339,$323
Kobe 1 Protro Undefeated White,240,$605,$448
Balenciaga Triple S Silver Red (2018),120,"$1,035",$900
Kyrie 3 Red Suede,46,$66,$70
Jordan 1 Retro Yin Yang Black,3624,$111,$108
PG 2 NCAA,30,$100,$120
Air Max 270 Black White,46,$130,$125
Jordan 1 Retro Storm Blue,586,$232,$127
Air Max 93 Menthol (2018),213,$160,$129
adidas NMD CS1 Gore-tex White,170,$145,$129
Jordan 15 Retro Obsidian,324,$115,$129
Jordan 1 Retro High Gatorade Rush Violet,270,$121,$130
Jordan 5 Retro P51 Camo,705,$145,$140
Air Max 97 Obsidian,59,$155,$140
adidas Ultra Boost 4.0 Dark Mocha,291,$148,$145
Jordan 8 Retro Black Cement,449,$165,$145
LeBron 15 Graffiti,53,$150,$145
Air Max Plus 97 Layer Cake,26,$170,$155
Jordan 1 Retro High Flyknit Bred,1321,$159,$155
Jordan 5 Retro Laney (2013),646,$188,$160
adidas Nemeziz Tango 17 Ultra Boost Kith Flamingos,144,$180,$160
Jordan 1 Retro Valentine's Day 2017 (GS),275,$254,$169
